16:13:01.992 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
16:13:05.514 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
16:13:06.612 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
16:13:06.672 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
16:13:07.778 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
16:13:07.874 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
16:13:08.981 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
16:13:09.046 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
16:13:10.144 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
16:13:10.229 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
16:31:50.366 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
16:31:50.398 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
16:31:51.199 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
16:31:51.271 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
16:31:51.272 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
16:31:52.778 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
16:31:52.778 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
16:31:56.770 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
16:31:56.860 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
16:32:11.870 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
16:32:14.131 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
16:32:14.765 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
16:32:17.780 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
16:32:17.872 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
16:32:18.884 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
16:32:18.978 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
16:32:19.985 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
16:32:20.071 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
16:32:20.359 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
16:32:20.450 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
16:32:20.496 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
16:32:23.616 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
16:32:23.616 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
16:32:25.603 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
16:32:26.697 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
16:32:26.762 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
16:32:27.859 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
16:32:27.922 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
16:32:29.040 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
16:32:29.130 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
16:32:30.230 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
16:32:30.336 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
16:32:31.482 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
16:32:31.572 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
16:32:32.804 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
16:32:32.870 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
16:52:23.545 [main] INFO  testCases.TC_004_SF_ResponseValidation - Response Navigation started
16:52:23.584 [main] INFO  testCases.TC_004_SF_ResponseValidation - Excel file Utility instance created
16:52:24.281 [main] INFO  testCases.TC_004_SF_ResponseValidation - Row Count is: 1
16:52:24.357 [main] INFO  testCases.TC_004_SF_ResponseValidation - Col Count is: 47
16:52:24.357 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values started...
16:52:25.747 [main] INFO  testCases.TC_004_SF_ResponseValidation - Extracting DataSheet Values Completed...
16:52:25.747 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigation started
16:52:30.184 [main] INFO  testCases.TC_004_SF_ResponseValidation - Login details Entered
16:52:30.279 [main] INFO  testCases.TC_004_SF_ResponseValidation - Chat bot Logged In
16:52:45.282 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard wait for 15 secs
16:52:48.235 [main] INFO  testCases.TC_004_SF_ResponseValidation - clear all button clicked on listbox
16:52:48.885 [main] INFO  testCases.TC_004_SF_ResponseValidation - Build Name entered in List Box
16:52:51.889 [main] INFO  testCases.TC_004_SF_ResponseValidation - Waited for 3 secs
16:52:51.988 [main] INFO  testCases.TC_004_SF_ResponseValidation - Enter Key applied on ListBox
16:52:52.992 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
16:52:53.103 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Build button once
16:52:54.106 [main] INFO  testCases.TC_004_SF_ResponseValidation - Hard Wait for 1 sec
16:52:54.222 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked side bar Result
16:52:54.486 [main] INFO  testCases.TC_004_SF_ResponseValidation - Side Item Response clicked
16:52:54.571 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response
16:52:54.635 [main] INFO  testCases.TC_004_SF_ResponseValidation - clicked refresh Response Again
16:52:57.730 [main] INFO  testCases.TC_004_SF_ResponseValidation - Clicked first Response
16:52:57.730 [main] INFO  testCases.TC_004_SF_ResponseValidation - Navigated to Build: SFAll_Independent
16:53:03.600 [main] INFO  testCases.TC_004_SF_ResponseValidation - Message Control Header Expected Value:Hi, Welcome to Survey form...! Actual Value: Hi, Welcome to Survey form...!
16:53:04.836 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select an option..! Actual Value: Select an option..!
16:53:04.931 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Strongly Agree Actual Value: Strongly Agree
16:53:06.022 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Question Expected Value:Please type an answer ..! Actual Value: Please type an answer ..!
16:53:06.087 [main] INFO  testCases.TC_004_SF_ResponseValidation - Text Question Control Answer Expected Value:Welcome to Automation...! Actual Value: Welcome to Automation...!
16:53:07.211 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Question Expected Value:What is your email address? Actual Value: What is your email address?
16:53:07.311 [main] INFO  testCases.TC_004_SF_ResponseValidation - Email Control Answer Expected Value:test@test.com Actual Value: test@test.com
16:53:08.409 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Question Expected Value:Please type your phone number Actual Value: Please type your phone number
16:53:08.484 [main] INFO  testCases.TC_004_SF_ResponseValidation - Phone Number Control Answer Expected Value:1234567890 Actual Value: +91 1234567890
16:53:09.759 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Question Expected Value:Book an appointment / meeting Actual Value: Book an appointment / meeting
16:53:09.819 [main] INFO  testCases.TC_004_SF_ResponseValidation - Appointment Control Answer Expected Value:01:00 PM - 01:29 PM Date : 27/09/2023 Actual Value: Appointment Date : 27/09/2023, Time : [ 01:00 PM to 01:29 PM ]
16:53:10.925 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Question Expected Value:Select your choices..! Actual Value: Select your choices..!
16:53:10.990 [main] INFO  testCases.TC_004_SF_ResponseValidation - MultiChoice Control Answer Expected Value:Agree,DisAgree Actual Value: Strongly Agree, Agree, DisAgree
